episode,description,rating,number of votes,air date,Season,Episode,Title
S1.E0 ∙ Adventure Time,"Princess Bubblegum is captured by the Ice King, and it's now up to Finn the Human and Jake the Dog to save her.",6.7,1.2K,"Mon, Apr 5, 2010",1,0,Adventure Time
S1.E1 ∙ Slumber Party Panic,Princess Bumblegum's latest experiment accidentally unleashes an undead horde upon the Candy Kingdom.,7.4,3K,"Mon, Apr 5, 2010",1,1,Slumber Party Panic
S1.E2 ∙ Trouble in Lumpy Space,"Jake is bitten by Lumpy Space Princess and begins to transform into a Lumpy being. In order to find a cure, Finn is travels to Lumpy Space.",7.2,2.6K,"Mon, Apr 5, 2010",1,2,Trouble in Lumpy Space
S1.E3 ∙ Prisoners of Love,"After the Ice King kidnaps a large group of princesses, its up to Finn and Jake to free them.",7.2,2.5K,"Mon, Apr 12, 2010",1,3,Prisoners of Love
S1.E4 ∙ Tree Trunks,"Tree Trunks joins Finn and Jake on an quest, but finds her talents for adventuring leave something to be desired.",7.4,2.4K,"Mon, Apr 12, 2010",1,4,Tree Trunks
S1.E5 ∙ The Enchiridion!,"Princess Bubblegum sends Finn on his most challenging quest yet--to recover The Enchiridion, the hero's handbook.",7.8,2.4K,"Mon, Apr 19, 2010",1,5,The Enchiridion!
S1.E6 ∙ The Jiggler,"After finding a Jiggler in the wild, Finn and Jake decide to adopt the funny creature as a pet.",7.1,2.3K,"Mon, Apr 19, 2010",1,6,The Jiggler
S1.E7 ∙ Ricardio the Heart Guy,"A new stranger arrives in the Candy Kingdom: a charismatic talking heart named Ricardio. He soon becomes very popular, except to Finn who believes he's hiding something.",7.3,2.2K,"Mon, Apr 26, 2010",1,7,Ricardio the Heart Guy
S1.E8 ∙ Business Time,Finn and Jake discover a tribe of businessmen frozen in a block of ice and hire them to make adventuring easier.,7.5,2.2K,"Mon, Apr 26, 2010",1,8,Business Time
S1.E9 ∙ My Two Favorite People,"Jake tries hanging out with both his best friend, Finn, and his girlfriend, Lady Rainicorn, at the same time. But soon Jake becomes jealous when Finn and Lady seem too friendly.",7.6,2.1K,"Mon, May 3, 2010",1,9,My Two Favorite People
S1.E10 ∙ Memories of Boom Boom Mountain,"While having trouble solving the contradictory problems of the residents of a mountain village, Finn recalls where he found the desire to help people.",7.7,2.1K,"Mon, May 3, 2010",1,10,Memories of Boom Boom Mountain
S1.E11 ∙ Wizard,Finn and Jake discover a secret tribe of wizards and take magic lessons for a price they aren't prepared to pay.,8.0,2.2K,"Mon, May 10, 2010",1,11,Wizard
S1.E12 ∙ Evicted!,After Marceline the Vampire Queen visits Finn and Jake at their tree fort she informs them that she is moving in and kicking them out.,8.2,2.2K,"Mon, May 17, 2010",1,12,Evicted!
S1.E13 ∙ City of Thieves,A mission leads Jake into a city where everyone is a thief and the chance to be corrupted is incredibly strong.,7.7,2.1K,"Mon, May 24, 2010",1,13,City of Thieves
S1.E14 ∙ The Witch's Garden,"A witch steals Jake's shape-shifting powers, but his ego makes getting them back very difficult.",7.3,2K,"Mon, Jun 7, 2010",1,14,The Witch's Garden
